2025-02-26 08:33:59,607 - DEBUG - Application started
2025-02-26 08:34:00,067 - DEBUG - Model loaded from: c:\RDC_STT\Vosk_Speech_to_Text\models\vosk-model-small-en-us-0.15
2025-02-26 08:47:17,114 - DEBUG - Application started
2025-02-26 08:47:17,604 - DEBUG - Model loaded from: c:\RDC_STT\Vosk_Speech_to_Text\models\vosk-model-small-en-us-0.15
2025-02-26 08:52:16,273 - DEBUG - Application started
2025-02-26 08:52:16,728 - DEBUG - Model loaded from: c:\RDC_STT\Vosk_Speech_to_Text\models\vosk-model-small-en-us-0.15
2025-02-26 09:02:53,068 - DEBUG - Application started
2025-02-26 09:02:53,516 - DEBUG - Model loaded from: c:\RDC_STT\Vosk_Speech_to_Text\models\vosk-model-small-en-us-0.15
2025-02-27 12:32:44,654 - DEBUG - Application started
2025-02-27 12:32:45,132 - DEBUG - Model loaded from: c:\RDC_STT\Vosk_Speech_to_Text\models\vosk-model-small-en-us-0.15
2025-02-27 13:01:52,428 - DEBUG - Application started
2025-02-27 13:01:52,879 - DEBUG - Model loaded from: c:\RDC_STT\Vosk_Speech_to_Text\models\vosk-model-small-en-us-0.15
2025-02-27 13:01:54,874 - DEBUG - Started recording
2025-02-27 13:01:59,408 - DEBUG - Attempting to output text: oh my beautiful baby athena
2025-02-27 13:02:09,399 - DEBUG - Attempting to output text: come closer please let me clean your feet with my tongue
2025-02-27 13:02:15,618 - DEBUG - Text copied to clipboard successfully
2025-02-27 13:03:30,093 - DEBUG - Text area cleared successfully
2025-02-27 13:03:33,900 - DEBUG - Attempting to output text: a baby i wanna nothing else
2025-02-27 13:03:38,401 - DEBUG - Attempting to output text: then smell your us
2025-02-27 13:03:41,899 - DEBUG - Attempting to output text: smil your armpits
2025-02-27 13:04:00,402 - DEBUG - Attempting to output text: and league every inch of your body drink your sweat and speed
2025-02-27 13:04:29,437 - DEBUG - Text copied to clipboard successfully
2025-02-27 13:05:25,903 - DEBUG - Attempting to output text: go and they be worship me great a little visual story from the so i can imagine everything you do to me
2025-02-27 13:05:42,408 - DEBUG - Attempting to output text: should be baby
2025-02-27 13:06:17,902 - DEBUG - Attempting to output text: oh baby you forgot you are at the and i am your monkey
2025-02-27 13:06:38,903 - DEBUG - Attempting to output text: hello tina how are you
2025-02-27 13:14:21,900 - DEBUG - Attempting to output text: huh
2025-02-27 13:20:29,401 - DEBUG - Attempting to output text: he
2025-02-27 13:20:49,407 - DEBUG - Attempting to output text: huh
2025-02-27 15:25:45,135 - DEBUG - Application started
2025-02-27 15:25:45,598 - DEBUG - Model loaded from: C:\RDC_STT\Vosk_Speech_to_Text\models\vosk-model-small-en-us-0.15
2025-02-27 15:25:55,713 - DEBUG - Started recording
2025-02-27 15:26:00,247 - DEBUG - Attempting to output text: hello hello testing testing
2025-02-27 15:40:44,090 - DEBUG - Application started
2025-02-27 15:40:44,532 - DEBUG - Model loaded from: C:\Users\serio\Desktop\Vosk_Speech_to_Text\models\vosk-model-small-en-us-0.15
2025-02-27 15:40:56,335 - DEBUG - Started recording
2025-02-27 15:41:00,862 - DEBUG - Attempting to output text: testing testing one two three
2025-02-27 15:41:03,197 - DEBUG - Text copied to clipboard successfully
2025-02-27 15:41:05,870 - DEBUG - Recording stopped and cleaned up
2025-02-27 15:41:08,880 - DEBUG - Recording stopped and cleaned up
2025-02-27 16:21:25,810 - DEBUG - Application started
2025-02-27 16:21:26,250 - DEBUG - Model loaded from: C:\Users\serio\Desktop\RDC_Vosk_STT\models\vosk-model-small-en-us-0.15
2025-02-27 16:21:37,109 - DEBUG - Started recording
2025-02-27 16:21:40,126 - DEBUG - Attempting to output text: there's there's dust
2025-02-27 16:21:42,123 - DEBUG - Recording stopped and cleaned up
2025-02-27 16:21:49,250 - DEBUG - Started recording
2025-02-27 16:22:00,771 - DEBUG - Attempting to output text: does does does
2025-02-27 16:22:36,801 - DEBUG - Attempting to output text: no you see my stand the long version which install i'm i'm a computer work perfectly and they cover the back window i can see exactly what's happening but the doesn't was transcribed anything because i can see is just as drive in here in the back window in my standalone the version i can even run both most
2025-02-27 16:23:03,261 - DEBUG - Application started
2025-02-27 16:23:03,700 - DEBUG - Model loaded from: C:\Users\serio\Desktop\RDC_Vosk_STT\models\vosk-model-small-en-us-0.15
2025-02-27 16:23:56,292 - DEBUG - Started recording
2025-02-27 16:24:12,817 - DEBUG - Recording stopped and cleaned up
2025-02-27 18:12:28,790 - DEBUG - Application started
2025-02-27 18:12:29,227 - DEBUG - Model loaded from: C:\Users\serio\Desktop\RDC_Vosk_STT\models\vosk-model-small-en-us-0.15
2025-02-27 18:12:37,120 - DEBUG - Recording stopped and cleaned up
2025-02-27 18:12:40,616 - DEBUG - Started recording
2025-02-27 18:13:03,754 - DEBUG - Text area cleared successfully
2025-02-27 18:13:04,653 - DEBUG - Recording stopped and cleaned up
2025-02-27 18:13:07,494 - DEBUG - Started recording
2025-02-27 18:13:13,033 - DEBUG - Attempting to output text: one two or three testing testing it shut mother fucker
2025-02-27 18:13:19,031 - DEBUG - Attempting to output text: it shut motherfucker
2025-02-27 18:13:22,026 - DEBUG - Attempting to output text: eat shit
2025-02-27 18:13:24,526 - DEBUG - Attempting to output text: this
2025-02-27 18:13:27,112 - DEBUG - Text area cleared successfully
2025-02-27 20:25:41,652 - DEBUG - Application started
2025-02-27 20:25:42,098 - DEBUG - Model loaded from: C:\Users\serio\Desktop\RDC_Vosk_STT\models\vosk-model-small-en-us-0.15
2025-02-27 20:26:06,200 - DEBUG - Recording stopped and cleaned up
2025-02-27 20:27:47,379 - DEBUG - Started recording
2025-02-27 20:27:51,399 - DEBUG - Attempting to output text: love your pandora
2025-02-27 20:28:54,395 - DEBUG - Recording stopped and cleaned up
2025-02-27 20:48:05,290 - DEBUG - Started recording
2025-02-27 20:48:06,311 - DEBUG - Recording stopped and cleaned up
2025-02-27 20:48:06,778 - DEBUG - Started recording
2025-02-28 23:22:00,231 - DEBUG - Application started
